MAKE;MODEL;PRICE;TAX;MPG;ENGINESIZE
audi;A1;12500;150,0;55,4;1.4
audi;A6;16500;20,0;64,2;2.0
audi;A1;11000;30,0;55,4;1.4
audi;A4;16800;145,0;67,3;2.0
audi;A3;17300;145,0;49,6;1.0
audi;A1;13900;30,0;58,9;1.4
audi;A6;13250;30,0;61,4;2.0
audi;A4;11750;20,0;70,6;2.0
audi;A3;10200;20,0;60,1;1.4
audi;A1;12000;30,0;55,4;1.4
audi;A3;16100;145,0;58,9;1.4
audi;A6;16500;125,0;57,6;2.0
audi;Q3;17000;145,0;52,3;2.0
audi;A3;16400;30,0;58,9;1.4
audi;A6;15400;30,0;61,4;2.0
audi;A3;14500;145,0;58,9;1.4
audi;Q3;15700;145,0;53,3;2.0
audi;A3;13900;30,0;56,5;1.4
audi;Q5;19000;200,0;47,1;2.0
audi;Q3;17000;145,0;47,9;1.4
